 


Daily Data Between Two Dates
 WAUKEGAN (IL)
 USC00119029

Date,PRCP,TMAX,TMIN,MEAN,
1971-01-01,0.00,37,26,31.5,
1971-01-02,0.06,36,25,30.5,
1971-01-03,0.00,33,20,26.5,
1971-01-04,0.78,41,30,35.5,
1971-01-05,0.00,34,1,17.5,
1971-01-06,0.00,7,-7,0.0,
1971-01-07,0.00,6,-8,-1.0,
1971-01-08,0.00,10,-7,1.5,
1971-01-09,0.00,25,-5,10.0,
1971-01-10,0.00,30,17,23.5,
1971-01-11,0.00,36,16,26.0,
1971-01-12,0.00,28,12,20.0,
1971-01-13,T,31,15,23.0,
1971-01-14,0.03,30,18,24.0,
1971-01-15,0.00,27,2,14.5,
1971-01-16,0.00,15,1,8.0,
1971-01-17,0.23,14,3,8.5,
1971-01-18,0.15,20,-1,9.5,
1971-01-19,0.00,10,-2,4.0,
1971-01-20,0.00,13,-3,5.0,
1971-01-21,0.00,32,-2,15.0,
1971-01-22,0.00,35,19,27.0,
1971-01-23,0.00,36,13,24.5,
1971-01-24,0.00,34,15,24.5,
1971-01-25,0.00,39,16,27.5,
1971-01-26,0.07,42,5,23.5,
1971-01-27,0.00,11,-6,2.5,
1971-01-28,T,5,-6,-0.5,
1971-01-29,T,11,-4,3.5,
1971-01-30,0.34,35,4,19.5,
1971-01-31,0.00,7,-7,0.0,
1971-02-01,0.00,-1,-10,-5.5,
1971-02-02,T,3,-12,-4.5,
1971-02-03,T,20,-11,4.5,
1971-02-04,0.48,30,20,25.0,
1971-02-05,0.26,46,24,35.0,
1971-02-06,0.00,25,10,17.5,
1971-02-07,0.00,22,4,13.0,
1971-02-08,0.00,10,-3,3.5,
1971-02-09,0.00,8,-7,0.5,
1971-02-10,T,12,-7,2.5,
1971-02-11,0.00,32,12,22.0,
1971-02-12,T,38,27,32.5,
1971-02-13,0.10,28,5,16.5,
1971-02-14,0.31,18,-1,8.5,
1971-02-15,0.00,24,3,13.5,
1971-02-16,0.00,32,24,28.0,
1971-02-17,T,38,25,31.5,
1971-02-18,0.00,45,33,39.0,
1971-02-19,0.31,40,35,37.5,
1971-02-20,0.26,53,35,44.0,
1971-02-21,0.00,37,27,32.0,
1971-02-22,T,31,27,29.0,
1971-02-23,0.58,33,27,30.0,
1971-02-24,0.00,32,27,29.5,
1971-02-25,0.00,38,26,32.0,
1971-02-26,0.00,53,28,40.5,
1971-02-27,0.27,52,34,43.0,
1971-02-28,0.00,35,25,30.0,
1971-03-01,0.00,39,24,31.5,
1971-03-02,0.00,34,20,27.0,
1971-03-03,T,30,16,23.0,
1971-03-04,T,26,15,20.5,
1971-03-05,0.00,39,16,27.5,
1971-03-06,0.04,40,32,36.0,
1971-03-07,0.13,34,25,29.5,
1971-03-08,T,29,16,22.5,
1971-03-09,0.00,29,13,21.0,
1971-03-10,0.32,33,12,22.5,
1971-03-11,0.04,32,14,23.0,
1971-03-12,T,36,14,25.0,
1971-03-13,T,35,27,31.0,
1971-03-14,T,50,31,40.5,
1971-03-15,0.10,60,37,48.5,
1971-03-16,0.06,43,23,33.0,
1971-03-17,T,30,20,25.0,
1971-03-18,0.00,40,20,30.0,
1971-03-19,0.69,36,32,34.0,
1971-03-20,0.11,35,23,29.0,
1971-03-21,0.00,38,24,31.0,
1971-03-22,0.00,43,23,33.0,
1971-03-23,T,37,15,26.0,
1971-03-24,T,27,15,21.0,
1971-03-25,0.00,31,16,23.5,
1971-03-26,0.00,32,19,25.5,
1971-03-27,0.00,37,22,29.5,
1971-03-28,T,41,36,38.5,
1971-03-29,0.00,46,30,38.0,
1971-03-30,0.00,40,27,33.5,
1971-03-31,0.00,42,27,34.5,
1971-04-01,0.00,72,42,57.0,
1971-04-02,T,60,28,44.0,
1971-04-03,0.01,35,22,28.5,
1971-04-04,T,35,20,27.5,
1971-04-05,0.00,40,20,30.0,
1971-04-06,0.00,38,24,31.0,
1971-04-07,0.00,45,28,36.5,
1971-04-08,0.00,57,33,45.0,
1971-04-09,0.00,74,39,56.5,
1971-04-10,0.00,59,27,43.0,
1971-04-11,0.00,57,31,44.0,
1971-04-12,0.02,76,47,61.5,
1971-04-13,0.30,63,42,52.5,
1971-04-14,0.00,45,31,38.0,
1971-04-15,0.00,42,32,37.0,
1971-04-16,0.00,63,35,49.0,
1971-04-17,0.11,66,47,56.5,
1971-04-18,0.00,65,41,53.0,
