 


Daily Data Between Two Dates
 WAUKEGAN (IL)
 USC00119029

Date,PRCP,TMAX,TMIN,MEAN,
1923-01-01,0.00,40,14,27.0,
1923-01-02,M,M,16,M,
1923-01-03,0.02,40,20,30.0,
1923-01-04,0.03,M,16,M,
1923-01-05,0.00,33,23,28.0,
1923-01-06,0.14,30,23,26.5,
1923-01-07,0.03,31,24,27.5,
1923-01-08,0.06,32,27,29.5,
1923-01-09,0.02,35,22,28.5,
1923-01-10,0.00,28,5,16.5,
1923-01-11,0.00,37,14,25.5,
1923-01-12,0.00,32,19,25.5,
1923-01-13,0.03,34,13,23.5,
1923-01-14,0.21,40,31,35.5,
1923-01-15,0.00,36,27,31.5,
1923-01-16,0.00,32,17,24.5,
1923-01-17,0.00,32,11,21.5,
1923-01-18,0.00,45,31,38.0,
1923-01-19,0.01,M,12,M,
1923-01-20,0.01,44,26,35.0,
1923-01-21,0.00,36,15,25.5,
1923-01-22,0.00,29,11,20.0,
1923-01-23,0.00,32,17,24.5,
1923-01-24,0.09,38,27,32.5,
1923-01-25,0.00,33,14,23.5,
1923-01-26,0.00,34,30,32.0,
1923-01-27,0.15,34,29,31.5,
1923-01-28,0.00,38,24,31.0,
1923-01-29,0.00,34,12,23.0,
1923-01-30,0.01,33,30,31.5,
1923-01-31,0.00,40,30,35.0,
1923-02-01,0.15,37,28,32.5,
1923-02-02,0.00,32,21,26.5,
1923-02-03,0.00,30,-6,12.0,
1923-02-04,0.00,15,-10,2.5,
1923-02-05,0.00,24,2,13.0,
1923-02-06,0.07,27,23,25.0,
1923-02-07,0.04,27,19,23.0,
1923-02-08,0.00,35,16,25.5,
1923-02-09,0.00,29,10,19.5,
1923-02-10,0.00,30,9,19.5,
1923-02-11,0.00,26,8,17.0,
1923-02-12,0.18,31,14,22.5,
1923-02-13,0.06,34,28,31.0,
1923-02-14,0.00,30,-15,7.5,
1923-02-15,0.00,21,-8,6.5,
1923-02-16,0.00,14,-3,5.5,
1923-02-17,0.00,21,3,12.0,
1923-02-18,0.00,19,-2,8.5,
1923-02-19,0.04,29,4,16.5,
1923-02-20,0.07,28,19,23.5,
1923-02-21,0.00,33,10,21.5,
1923-02-22,0.00,28,12,20.0,
1923-02-23,0.00,20,2,11.0,
1923-02-24,0.00,45,11,28.0,
1923-02-25,0.00,42,24,33.0,
1923-02-26,0.00,42,26,34.0,
1923-02-27,0.00,40,30,35.0,
1923-02-28,0.00,38,28,33.0,
1923-03-01,0.00,48,27,37.5,
1923-03-02,0.00,62,37,49.5,
1923-03-03,0.00,60,34,47.0,
1923-03-04,0.00,53,29,41.0,
1923-03-05,0.00,37,18,27.5,
1923-03-06,0.00,37,28,32.5,
1923-03-07,0.00,35,23,29.0,
1923-03-08,0.00,34,19,26.5,
1923-03-09,0.40,44,30,37.0,
1923-03-10,0.02,44,27,35.5,
1923-03-11,0.00,44,30,37.0,
1923-03-12,0.40,M,31,M,
1923-03-13,0.08,M,20,M,
1923-03-14,0.00,M,9,M,
1923-03-15,0.54,36,24,30.0,
1923-03-16,0.16,37,13,25.0,
