 


Daily Data Between Two Dates
 WAUKEGAN (IL)
 USC00119029

Date,PRCP,TMAX,TMIN,MEAN,
2001-01-01,0.00,M,M,M,
2001-01-02,0.00,27,3,15.0,
2001-01-03,0.01,22,7,14.5,
2001-01-04,0.00,28,7,17.5,
2001-01-05,T,33,20,26.5,
2001-01-06,0.00,36,21,28.5,
2001-01-07,0.00,23,7,15.0,
2001-01-08,0.00,32,14,23.0,
2001-01-09,0.00,24,11,17.5,
2001-01-10,0.00,29,11,20.0,
2001-01-11,0.00,38,22,30.0,
2001-01-12,0.00,41,23,32.0,
2001-01-13,0.00,36,25,30.5,
2001-01-14,0.00,36,32,34.0,
2001-01-15,0.01,36,33,34.5,
2001-01-16,T,33,28,30.5,
2001-01-17,0.00,34,24,29.0,
2001-01-18,0.00,26,20,23.0,
2001-01-19,T,33,20,26.5,
2001-01-20,0.03,30,13,21.5,
2001-01-21,0.00,25,5,15.0,
2001-01-22,0.00,26,9,17.5,
2001-01-23,0.00,31,9,20.0,
2001-01-24,T,35,18,26.5,
2001-01-25,0.00,28,11,19.5,
2001-01-26,0.00,M,M,M,
2001-01-27,0.06,30,15,22.5,
2001-01-28,0.00,M,M,M,
2001-01-29,0.08,30,24,27.0,
2001-01-30,0.75,40,31,35.5,
2001-01-31,0.15,38,31,34.5,
2001-02-01,0.00,36,20,28.0,
2001-02-02,0.01,33,-1,16.0,
2001-02-03,T,17,-1,8.0,
2001-02-04,0.09,30,17,23.5,
2001-02-05,T,34,26,30.0,
2001-02-06,0.30,32,27,29.5,
2001-02-07,0.00,34,13,23.5,
2001-02-08,0.15,34,15,24.5,
2001-02-09,0.75,53,26,39.5,
2001-02-10,0.38,35,12,23.5,
2001-02-11,0.00,25,10,17.5,
2001-02-12,0.00,34,10,22.0,
2001-02-13,0.00,38,27,32.5,
2001-02-14,0.00,38,32,35.0,
2001-02-15,0.15,38,24,31.0,
2001-02-16,M,29,26,27.5,
2001-02-17,0.00,26,4,15.0,
2001-02-18,0.00,16,5,10.5,
2001-02-19,0.00,35,7,21.0,
2001-02-20,0.00,40,29,34.5,
2001-02-21,0.00,34,7,20.5,
2001-02-22,0.00,22,7,14.5,
2001-02-23,T,26,10,18.0,
