 


Sub-Daily Data Between Two Dates
CHICAGO MIDWAY AP (IL)
14819
Lat/Lon/Elev: 41.7861/-87.7522/612 ft

Date,Time,Temp (F),Dewpt (F),Wind Spd (mph),Wind Direction (deg),Peak Wind Gust(mph),Atm Press (hPa),Sea Lev Press (hPa),Precip (in),
1991-01-01,01:00,13,5,14,220,m,M,M,m,
1991-01-01,02:00,13,7,14,220,m,M,M,m,
1991-01-01,03:00,13,7,14,220,m,M,M,m,
1991-01-01,04:00,13,6,14,220,m,M,M,m,
1991-01-01,05:00,14,7,11,210,m,M,M,m,
1991-01-01,06:00,13,7,10,210,m,M,M,m,
1991-01-01,07:00,14,8,11,220,m,M,M,m,
1991-01-01,08:00,15,8,13,220,m,M,M,m,
1991-01-01,09:00,18,10,18,210,m,M,M,m,
1991-01-01,10:00,20,10,17,210,m,M,M,m,
1991-01-01,11:00,24,12,21,200,m,M,M,m,
1991-01-01,12:00,26,14,17,210,m,M,M,m,
1991-01-01,13:00,27,16,21,210,m,M,M,m,
1991-01-01,14:00,30,18,16,220,m,M,M,m,
1991-01-01,15:00,31,20,15,220,m,M,M,m,
1991-01-01,16:00,30,20,14,220,m,M,M,m,
1991-01-01,17:00,27,19,13,210,m,M,M,m,
1991-01-01,18:00,26,19,9,210,m,M,M,m,
1991-01-01,19:00,26,19,11,220,m,M,M,m,
1991-01-01,20:00,24,19,8,230,m,M,M,m,
1991-01-01,21:00,23,18,8,220,m,M,M,m,
1991-01-01,22:00,24,18,9,260,m,M,M,m,
1991-01-01,23:00,22,18,5,250,m,M,M,m,
1991-01-02,00:00,20,16,5,270,m,M,M,m,
1991-01-02,01:00,21,17,0,0,m,M,M,m,
1991-01-02,02:00,22,17,5,280,m,M,M,m,
1991-01-02,03:00,22,17,7,310,m,M,M,m,
1991-01-02,04:00,M,M,M,M,m,m,M,m,
1991-01-02,05:00,23,16,11,310,m,M,M,m,
1991-01-02,06:00,M,M,8,350,m,M,M,m,
1991-01-02,07:00,23,14,14,330,m,M,M,m,
1991-01-02,08:00,22,15,11,300,m,M,M,m,
1991-01-02,09:00,22,14,14,350,m,M,M,m,
1991-01-02,10:00,23,15,15,320,m,M,M,0.00,
1991-01-02,11:00,26,17,15,340,m,M,M,0.00,
1991-01-02,12:00,26,16,15,320,m,M,M,0.00,
1991-01-02,13:00,24,14,17,340,m,M,M,0.00,
1991-01-02,14:00,23,14,17,320,m,M,M,0.00,
1991-01-02,15:00,22,13,15,310,m,M,M,0.00,
1991-01-02,16:00,20,9,16,330,m,M,M,0.00,
1991-01-02,17:00,18,11,15,300,m,M,M,0.00,
1991-01-02,18:00,17,10,11,310,m,M,M,0.00,
1991-01-02,19:00,16,9,11,320,m,M,M,0.00,
1991-01-02,20:00,16,8,8,300,m,M,M,0.00,
1991-01-02,21:00,15,8,10,290,m,M,M,0.00,
1991-01-02,22:00,13,4,9,320,m,M,M,0.00,
1991-01-02,23:00,11,1,11,310,m,M,M,0.00,
1991-01-03,00:00,9,-1,11,290,m,M,M,0.00,
1991-01-03,01:00,M,M,M,M,m,m,M,m,
1991-01-03,02:00,6,-5,9,290,m,M,M,0.00,
1991-01-03,03:00,5,-7,9,290,m,M,M,0.00,
1991-01-03,04:00,0,-9,10,290,m,M,M,0.00,
1991-01-03,05:00,M,M,M,M,m,m,M,m,
1991-01-03,06:00,2,-11,6,270,m,M,M,0.00,
1991-01-03,07:00,1,-10,7,270,m,M,M,0.00,
1991-01-03,08:00,2,-9,7,270,m,M,M,0.00,
