 


Daily Data Between Two Dates
 WAUKEGAN (IL)
 USC00119029

Date,PRCP,TMAX,TMIN,MEAN,
1961-01-01,0.00,29,21,25.0,
1961-01-02,0.05,30,20,25.0,
1961-01-03,T,28,8,18.0,
1961-01-04,0.00,32,1,16.5,
1961-01-05,0.00,40,15,27.5,
1961-01-06,0.00,48,29,38.5,
1961-01-07,0.00,40,32,36.0,
1961-01-08,0.00,32,14,23.0,
1961-01-09,0.00,33,8,20.5,
1961-01-10,0.00,45,19,32.0,
1961-01-11,0.00,45,24,34.5,
1961-01-12,0.00,51,23,37.0,
1961-01-13,0.00,58,30,44.0,
1961-01-14,0.00,41,28,34.5,
1961-01-15,T,35,32,33.5,
1961-01-16,0.00,36,25,30.5,
1961-01-17,0.00,48,26,37.0,
1961-01-18,T,37,23,30.0,
1961-01-19,0.01,31,16,23.5,
1961-01-20,T,20,6,13.0,
1961-01-21,T,15,-2,6.5,
1961-01-22,0.00,12,-6,3.0,
1961-01-23,0.00,24,-5,9.5,
1961-01-24,0.00,19,-3,8.0,
1961-01-25,0.00,18,-7,5.5,
1961-01-26,0.10,19,9,14.0,
1961-01-27,0.00,13,-1,6.0,
1961-01-28,0.00,22,-1,10.5,
1961-01-29,0.00,18,0,9.0,
1961-01-30,T,21,2,11.5,
1961-01-31,0.00,28,15,21.5,
1961-02-01,0.01,27,19,23.0,
1961-02-02,T,23,12,17.5,
1961-02-03,0.23,25,16,20.5,
1961-02-04,T,27,18,22.5,
1961-02-05,0.00,34,15,24.5,
1961-02-06,0.00,35,15,25.0,
1961-02-07,0.00,36,9,22.5,
1961-02-08,0.00,48,17,32.5,
1961-02-09,0.00,45,29,37.0,
1961-02-10,0.00,41,25,33.0,
1961-02-11,0.04,38,31,34.5,
1961-02-12,0.00,41,28,34.5,
1961-02-13,0.00,47,32,39.5,
1961-02-14,0.00,49,28,38.5,
1961-02-15,0.00,50,31,40.5,
1961-02-16,0.00,38,27,32.5,
1961-02-17,0.00,50,38,44.0,
1961-02-18,0.42,55,34,44.5,
1961-02-19,T,39,19,29.0,
1961-02-20,0.00,37,17,27.0,
1961-02-21,0.00,54,25,39.5,
1961-02-22,0.08,45,29,37.0,
1961-02-23,0.05,48,39,43.5,
1961-02-24,0.00,43,29,36.0,
1961-02-25,T,32,26,29.0,
1961-02-26,T,46,24,35.0,
1961-02-27,0.00,40,30,35.0,
1961-02-28,0.00,44,24,34.0,
1961-03-01,T,49,28,38.5,
1961-03-02,0.00,63,29,46.0,
1961-03-03,T,55,34,44.5,
1961-03-04,0.39,49,35,42.0,
1961-03-05,0.00,50,30,40.0,
1961-03-06,0.41,48,31,39.5,
1961-03-07,0.00,36,26,31.0,
1961-03-08,0.74,36,25,30.5,
1961-03-09,0.04,38,26,32.0,
1961-03-10,0.00,37,16,26.5,
1961-03-11,0.00,40,33,36.5,
1961-03-12,0.00,40,25,32.5,
1961-03-13,1.10,38,35,36.5,
1961-03-14,0.01,50,32,41.0,
1961-03-15,T,45,30,37.5,
1961-03-16,0.00,35,23,29.0,
1961-03-17,0.00,33,26,29.5,
1961-03-18,0.09,35,28,31.5,
1961-03-19,0.03,41,32,36.5,
1961-03-20,0.00,42,29,35.5,
1961-03-21,0.62,44,35,39.5,
1961-03-22,0.03,45,38,41.5,
1961-03-23,0.02,41,36,38.5,
1961-03-24,0.02,53,36,44.5,
1961-03-25,0.00,60,33,46.5,
1961-03-26,0.00,71,47,59.0,
1961-03-27,0.05,67,42,54.5,
1961-03-28,0.00,49,36,42.5,
1961-03-29,0.00,42,30,36.0,
1961-03-30,0.00,43,24,33.5,
1961-03-31,T,47,28,37.5,
1961-04-01,0.02,42,28,35.0,
1961-04-02,0.00,46,21,33.5,
1961-04-03,0.00,51,26,38.5,
1961-04-04,0.00,48,25,36.5,
1961-04-05,0.23,48,38,43.0,
1961-04-06,0.03,45,36,40.5,
1961-04-07,0.02,45,34,39.5,
1961-04-08,0.00,40,24,32.0,
1961-04-09,0.15,37,31,34.0,
1961-04-10,0.02,46,32,39.0,
1961-04-11,T,50,31,40.5,
1961-04-12,0.17,45,36,40.5,
1961-04-13,0.02,49,33,41.0,
1961-04-14,T,52,36,44.0,
1961-04-15,0.00,45,39,42.0,
1961-04-16,0.76,39,29,34.0,
1961-04-17,0.05,41,30,35.5,
1961-04-18,0.00,56,35,45.5,
1961-04-19,0.00,54,33,43.5,
1961-04-20,0.04,55,40,47.5,
1961-04-21,0.55,65,47,56.0,
1961-04-22,0.21,58,43,50.5,
1961-04-23,0.05,62,43,52.5,
1961-04-24,0.21,71,40,55.5,
1961-04-25,0.19,44,38,41.0,
1961-04-26,0.03,64,40,52.0,
1961-04-27,0.02,60,47,53.5,
1961-04-28,0.06,52,37,44.5,
1961-04-29,0.00,58,32,45.0,
1961-04-30,T,64,38,51.0,
1961-05-01,0.00,54,30,42.0,
1961-05-02,0.00,57,32,44.5,
1961-05-03,0.00,57,36,46.5,
1961-05-04,0.00,55,36,45.5,
1961-05-05,0.00,54,43,48.5,
1961-05-06,0.10,75,45,60.0,
1961-05-07,0.00,71,46,58.5,
1961-05-08,0.16,67,53,60.0,
1961-05-09,0.00,61,46,53.5,
1961-05-10,0.00,54,37,45.5,
1961-05-11,0.00,67,44,55.5,
1961-05-12,0.00,75,52,63.5,
1961-05-13,0.00,86,56,71.0,
1961-05-14,0.00,83,65,74.0,
1961-05-15,0.44,73,54,63.5,
1961-05-16,0.02,56,38,47.0,
1961-05-17,0.01,54,43,48.5,
1961-05-18,0.04,52,45,48.5,
1961-05-19,0.00,63,39,51.0,
1961-05-20,T,65,50,57.5,
1961-05-21,0.00,62,45,53.5,
1961-05-22,0.00,58,40,49.0,
1961-05-23,0.00,66,38,52.0,
1961-05-24,0.00,79,49,64.0,
1961-05-25,0.55,69,40,54.5,
1961-05-26,0.00,47,33,40.0,
1961-05-27,0.00,71,34,52.5,
1961-05-28,T,71,51,61.0,
1961-05-29,0.00,65,52,58.5,
1961-05-30,0.00,78,38,58.0,
1961-05-31,0.54,77,50,63.5,
1961-06-01,0.02,79,61,70.0,
1961-06-02,0.04,82,60,71.0,
1961-06-03,0.00,75,45,60.0,
1961-06-04,0.00,82,52,67.0,
1961-06-05,0.00,86,53,69.5,
1961-06-06,0.00,76,52,64.0,
1961-06-07,T,73,55,64.0,
1961-06-08,0.46,69,59,64.0,
1961-06-09,0.01,72,55,63.5,
1961-06-10,0.07,87,58,72.5,
1961-06-11,0.00,91,55,73.0,
1961-06-12,0.00,91,70,80.5,
1961-06-13,0.00,88,62,75.0,
1961-06-14,0.00,67,52,59.5,
1961-06-15,0.00,62,48,55.0,
1961-06-16,0.00,73,45,59.0,
1961-06-17,0.00,77,52,64.5,
1961-06-18,0.00,84,55,69.5,
1961-06-19,0.44,82,52,67.0,
1961-06-20,0.00,65,48,56.5,
1961-06-21,0.00,72,48,60.0,
1961-06-22,0.29,81,61,71.0,
1961-06-23,0.00,71,54,62.5,
1961-06-24,0.10,74,49,61.5,
1961-06-25,0.00,77,49,63.0,
1961-06-26,0.00,78,56,67.0,
1961-06-27,0.00,88,60,74.0,
1961-06-28,0.00,92,63,77.5,
1961-06-29,0.00,92,69,80.5,
1961-06-30,0.00,89,69,79.0,
1961-07-01,0.00,85,67,76.0,
1961-07-02,0.04,86,68,77.0,
1961-07-03,0.00,82,59,70.5,
1961-07-04,0.20,68,56,62.0,
1961-07-05,0.39,69,55,62.0,
1961-07-06,0.00,79,51,65.0,
1961-07-07,0.00,75,61,68.0,
1961-07-08,0.00,71,53,62.0,
1961-07-09,0.00,77,52,64.5,
1961-07-10,T,84,63,73.5,
1961-07-11,0.00,86,60,73.0,
1961-07-12,0.00,83,65,74.0,
1961-07-13,0.01,81,66,73.5,
1961-07-14,0.01,86,66,76.0,
1961-07-15,0.00,81,63,72.0,
1961-07-16,0.00,83,61,72.0,
1961-07-17,0.00,88,62,75.0,
1961-07-18,0.00,86,64,75.0,
1961-07-19,T,87,69,78.0,
1961-07-20,0.00,84,64,74.0,
1961-07-21,0.73,74,66,70.0,
1961-07-22,0.11,86,69,77.5,
1961-07-23,0.13,82,67,74.5,
1961-07-24,0.00,84,67,75.5,
1961-07-25,0.00,79,63,71.0,
1961-07-26,0.00,79,60,69.5,
1961-07-27,0.00,81,66,73.5,
1961-07-28,0.05,86,68,77.0,
1961-07-29,0.00,83,66,74.5,
1961-07-30,0.23,87,67,77.0,
1961-07-31,0.62,80,68,74.0,
1961-08-01,0.59,76,69,72.5,
1961-08-02,0.00,81,66,73.5,
1961-08-03,0.00,86,61,73.5,
1961-08-04,0.00,88,69,78.5,
1961-08-05,0.88,78,63,70.5,
1961-08-06,0.00,72,58,65.0,
1961-08-07,0.00,83,56,69.5,
1961-08-08,0.00,86,64,75.0,
1961-08-09,0.00,87,69,78.0,
1961-08-10,T,85,72,78.5,
1961-08-11,0.00,82,68,75.0,
1961-08-12,0.00,79,60,69.5,
1961-08-13,T,85,53,69.0,
1961-08-14,0.00,87,63,75.0,
1961-08-15,0.00,87,64,75.5,
1961-08-16,0.00,80,67,73.5,
1961-08-17,0.00,77,58,67.5,
1961-08-18,0.00,83,58,70.5,
1961-08-19,0.23,78,64,71.0,
1961-08-20,0.00,71,54,62.5,
1961-08-21,0.00,72,51,61.5,
1961-08-22,0.00,72,53,62.5,
1961-08-23,T,69,62,65.5,
1961-08-24,0.00,72,58,65.0,
1961-08-25,0.00,82,58,70.0,
1961-08-26,0.00,84,64,74.0,
1961-08-27,0.00,93,69,81.0,
1961-08-28,T,93,71,82.0,
1961-08-29,0.22,83,63,73.0,
1961-08-30,0.00,94,66,80.0,
1961-08-31,0.74,92,66,79.0,
1961-09-01,0.01,87,71,79.0,
1961-09-02,1.89,86,65,75.5,
1961-09-03,0.00,84,73,78.5,
1961-09-04,0.03,78,63,70.5,
1961-09-05,0.00,78,62,70.0,
1961-09-06,0.34,86,67,76.5,
1961-09-07,0.00,87,64,75.5,
1961-09-08,0.00,82,64,73.0,
1961-09-09,0.00,86,67,76.5,
1961-09-10,0.00,89,70,79.5,
1961-09-11,0.00,86,71,78.5,
1961-09-12,0.72,78,66,72.0,
1961-09-13,0.27,75,67,71.0,
1961-09-14,2.44,68,54,61.0,
1961-09-15,0.00,70,42,56.0,
1961-09-16,0.00,76,48,62.0,
1961-09-17,0.00,75,52,63.5,
1961-09-18,0.00,73,53,63.0,
1961-09-19,0.00,71,50,60.5,
1961-09-20,0.00,75,56,65.5,
1961-09-21,T,78,62,70.0,
1961-09-22,0.93,82,66,74.0,
1961-09-23,1.09,71,53,62.0,
1961-09-24,0.05,65,56,60.5,
1961-09-25,1.14,56,50,53.0,
1961-09-26,0.00,68,42,55.0,
1961-09-27,0.00,69,48,58.5,
1961-09-28,0.00,57,35,46.0,
1961-09-29,0.00,61,36,48.5,
1961-09-30,0.37,75,53,64.0,
